player,uid,level,rank,rank_div,rank_score,kills,damage,headshots,games_played,wins,kdr,damage_per_game
fd4f5d30ed5c0416,2796586403,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baylor8,2796529957,20.0,Unranked,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
r4znor,2796571816,5.0,Unranked,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
kristeltomenio,1008248054708,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrormop,2796588315,6.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
scratish,2796581435,83.0,Bronze,4,1000.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0
tomekd93,2796605813,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dubspen,2796654216,8.0,Rookie,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
IoSonoRomanista,2796635756,71.0,Rookie,1,810.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiesta_900,2796587747,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1hunna1234,1008248073272,4.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOGI_EAZY_INC,2796563850,4.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mastuko,2796617836,4.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jen_dragon3105,2796625763,212.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M3gA D0wN,2796587563,2.0,Rookie,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLZBANME,2796572383,79.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canis-Lupus-73,2796569959,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julo456502,2796603292,13.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LyxyreBoy,2796595893,26.0,Gold,1,8204.0,700.0,80054.0,0.0,0.0,0.0,0.0,0.0
y_JigSaW,2796532618,95.0,Rookie,1,800.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
rentestarossa,2796600116,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217795281,2796660131,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luckinc0ffee,2796563932,267.0,Bronze,2,2062.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0
Mange-Mort-Squad,2796565653,161.0,Bronze,2,2232.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
qbert144,2796493965,4.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlys_technik,1008248080897,18.0,Unranked,0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Fenrir_09,2796627037,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crazyw52d,2796536952,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qtcIaqs,2796587948,85.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dewdaddy1969,2796611538,9.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kureshio,2796605023,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6ee342a8c36af568,2796632420,51.0,Rookie,3,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeDomeD,2796591536,136.0,Rookie,4,1.0,472.0,101026.0,0.0,0.0,0.0,0.0,0.0
MrHuuulk ,2796569320,270.0,Platinum,3,9800.0,7.0,2527.0,0.0,0.0,0.0,0.0,0.0
Tr4usti,2796615022,9.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
